Lp;R;G;B;War;Dec
0;100.3;100.3;100.3;18.749999999999947;0
1;127.13;127.13;127.13;4.733100000000001;1
2;4.0;4.0;4.0;0.0;0
3;74.06;74.06;74.06;32.17639999999997;0
4;66.32;66.32;66.32;4.317599999999994;0
5;145.09;145.09;145.09;9.441899999999993;0
6;74.8;74.8;74.8;100.1;1
7;118.56;118.56;118.56;39.60639999999998;0
8;95.29;95.29;95.29;25.565900000000028;1
9;104.96;104.96;104.96;129.39840000000015;0
10;114.28;114.28;114.28;19.801600000000064;0
11;73.78;73.78;73.78;8.611599999999997;0
12;96.89;96.89;96.89;20.4179;0
13;87.83;87.83;87.83;25.541099999999993;0
14;4.0;4.0;4.0;0.0;0
15;81.12;81.12;81.12;8.665600000000019;0
16;116.21;116.21;116.21;6.925899999999997;0
17;83.18;83.18;83.18;5.187599999999995;0
18;107.74;107.74;107.74;15.592399999999992;0
19;89.29;89.29;89.29;22.765900000000002;0
20;130.14;130.14;130.14;35.94040000000003;0
21;137.45;137.45;137.45;23.147500000000036;0
22;128.77;128.77;128.77;7.497100000000007;0
23;107.05;107.05;107.05;10.707500000000017;1
24;4.0;4.0;4.0;0.0;0
25;145.72;145.72;145.72;15.021599999999983;0
26;96.11;96.11;96.11;8.57789999999998;0
27;99.34;99.34;99.34;3.9844000000000133;0
28;90.73;90.73;90.73;14.337099999999985;0
29;60.23;60.23;60.23;7.097099999999994;0
30;85.42;85.42;85.42;7.763600000000012;0
31;4.0;4.0;4.0;0.0;0
32;125.14;125.14;125.14;27.420400000000022;0
33;70.35;70.35;70.35;4.187500000000005;0
34;3.0;3.0;3.0;0.0;0
35;117.51;117.51;117.51;461.7299000000001;1
36;113.89;113.89;113.89;15.077899999999984;0
37;4.0;4.0;4.0;0.0;0
38;91.18;91.18;91.18;5.927600000000004;0
39;75.99;75.99;75.99;9.289899999999992;0
40;108.97;108.97;108.97;4.749100000000001;0
41;101.45;101.45;101.45;15.187499999999996;0
42;4.0;4.0;4.0;0.0;0
43;102.55;102.55;102.55;8.167500000000002;0
44;86.57;86.57;86.57;41.6851;1
45;112.27;112.27;112.27;7.737100000000011;1
46;80.56;80.56;80.56;11.14639999999998;0
47;103.45;103.45;103.45;6.167500000000005;0
48;107.12;107.12;107.12;18.005600000000012;1
49;100.76;100.76;100.76;197.2824;1
50;67.43;67.43;67.43;7.805100000000005;0
51;83.46;83.46;83.46;30.908400000000007;1
52;136.76;136.76;136.76;6.362399999999987;0
53;129.23;129.23;129.23;10.637100000000004;0
54;17.37;17.37;17.37;244.85309999999987;0
55;89.2;89.2;89.2;15.059999999999981;0
56;132.08;132.08;132.08;8.473600000000008;0
57;95.7;95.7;95.7;12.170000000000009;0
58;87.3;87.3;87.3;13.630000000000011;0
59;58.24;58.24;58.24;40.62239999999999;1
60;88.07;88.07;88.07;42.12510000000001;1
61;109.13;109.13;109.13;11.833100000000009;0
62;74.76;74.76;74.76;13.982399999999995;1
63;79.5;79.5;79.5;10.47;0
